date,service,cost,usage,unit,region,team,project,environment,resource_id
2026-01-18,EC2,49.8034,63.61,Hours,eu-west-1,frontend,analytics,production,i-125358
2026-01-18,EC2,99.714,51.53,Hours,ap-southeast-1,backend,ml-pipeline,production,i-187229
2026-01-18,EC2,69.9099,81.33,Hours,eu-west-1,ml,analytics,staging,i-477049
2026-01-18,EC2,45.0975,59.39,Hours,eu-west-1,infra,ml-pipeline,development,i-192858
2026-01-18,EC2,25.0734,36.87,Hours,ap-southeast-1,ml,platform,development,i-490941
2026-01-18,Lambda,27.4716,66.75,Requests,eu-west-1,backend,web-app,development,func-249459
2026-01-18,Lambda,23.4526,20.41,Requests,ap-southeast-1,frontend,analytics,staging,func-682961
2026-01-18,Lambda,32.5044,82.45,Requests,us-west-2,frontend,ml-pipeline,development,func-257067
2026-01-18,S3,25.7096,13.52,GB-Month,eu-west-1,backend,mobile-api,development,res-401023
2026-01-18,S3,5.6448,68.9,GB-Month,ap-southeast-1,infra,mobile-api,staging,res-269992
2026-01-18,S3,12.4879,93.25,GB-Month,eu-west-1,frontend,ml-pipeline,staging,res-541988
2026-01-18,S3,32.3273,80.35,GB-Month,eu-west-1,ml,web-app,development,res-323970
2026-01-18,S3,27.6774,12.64,GB-Month,eu-west-1,ml,web-app,development,res-142703
2026-01-18,RDS,90.1226,60.98,Hours,us-west-2,backend,platform,staging,db-701013
2026-01-18,RDS,127.9943,8.07,Hours,us-east-1,ml,platform,development,db-135259
2026-01-18,RDS,20.9552,69.16,Hours,eu-west-1,infra,analytics,staging,db-228959
2026-01-18,RDS,59.7006,69.21,Hours,eu-west-1,ml,platform,staging,db-504336
2026-01-18,RDS,78.6215,31.66,Hours,ap-southeast-1,infra,mobile-api,development,db-526833
2026-01-18,DynamoDB,11.2411,17.18,WCU-Hours,us-east-1,data,web-app,development,res-690914
2026-01-18,DynamoDB,30.5514,17.72,WCU-Hours,eu-west-1,backend,analytics,development,res-863456
2026-01-18,DynamoDB,25.2576,39.39,WCU-Hours,ap-southeast-1,backend,platform,staging,res-606211
2026-01-18,DynamoDB,26.4812,84.51,WCU-Hours,us-west-2,frontend,analytics,development,res-168612
2026-01-18,DynamoDB,36.0281,8.16,WCU-Hours,us-east-1,ml,web-app,development,res-103505
2026-01-18,CloudWatch,2.5879,36.12,Metrics,ap-southeast-1,frontend,mobile-api,development,res-195237
2026-01-18,CloudWatch,4.0735,7.85,Metrics,us-east-1,data,platform,production,res-647529
2026-01-18,CloudWatch,4.7511,85.85,Metrics,ap-southeast-1,backend,analytics,development,res-913536
2026-01-18,CloudWatch,8.4218,42.17,Metrics,us-east-1,infra,ml-pipeline,staging,res-484202
2026-01-18,CloudWatch,6.5033,77.93,Metrics,us-east-1,ml,platform,development,res-363799
2026-01-18,CloudFront,29.3932,33.53,GB,us-east-1,frontend,ml-pipeline,development,res-181257
2026-01-18,CloudFront,31.4291,71.05,GB,ap-southeast-1,frontend,mobile-api,development,res-874204
2026-01-18,CloudFront,16.1131,52.56,GB,ap-southeast-1,backend,analytics,staging,res-220553
2026-01-18,CloudFront,24.0384,50.98,GB,eu-west-1,backend,platform,staging,res-637651
2026-01-18,EBS,7.7675,99.65,GB-Month,eu-west-1,infra,analytics,production,res-791344
2026-01-18,EBS,13.9054,2.53,GB-Month,eu-west-1,infra,web-app,development,res-850237
2026-01-18,EBS,22.7521,13.74,GB-Month,ap-southeast-1,ml,mobile-api,development,res-276810
2026-01-18,EBS,10.3897,24.74,GB-Month,us-east-1,infra,platform,development,res-171267
2026-01-18,EBS,10.9446,58.56,GB-Month,ap-southeast-1,ml,ml-pipeline,production,res-728359
2026-01-18,EKS,161.311,82.77,Hours,ap-southeast-1,backend,ml-pipeline,production,cluster-218556
2026-01-18,EKS,107.0479,92.11,Hours,us-west-2,data,ml-pipeline,production,cluster-335429
2026-01-18,EKS,149.688,29.7,Hours,us-west-2,backend,web-app,production,cluster-514773
2026-01-18,ElastiCache,20.9697,52.1,Hours,us-west-2,ml,analytics,development,cache-628879
2026-01-18,ElastiCache,41.7046,62.08,Hours,us-east-1,frontend,ml-pipeline,development,cache-385135
2026-01-18,ElastiCache,19.3268,73.32,Hours,us-east-1,infra,web-app,development,cache-126854
2026-01-18,ElastiCache,53.5779,17.59,Hours,eu-west-1,data,analytics,staging,cache-555672
2026-01-18,ElastiCache,28.3497,45.83,Hours,us-west-2,data,ml-pipeline,production,cache-704672
2026-01-18,Route53,3.7238,29.5,Queries,us-west-2,frontend,web-app,development,res-841688
2026-01-18,Route53,6.0855,28.94,Queries,eu-west-1,backend,mobile-api,development,res-559691
2026-01-18,Route53,7.416,59.23,Queries,eu-west-1,frontend,ml-pipeline,development,res-268362
2026-01-18,Route53,2.8796,38.2,Queries,ap-southeast-1,ml,platform,development,res-671846
2026-01-18,SNS,1.8444,65.0,Requests,ap-southeast-1,ml,mobile-api,production,res-106741
2026-01-18,SNS,1.238,64.67,Requests,us-east-1,frontend,analytics,production,res-723241
2026-01-18,SNS,3.602,55.87,Requests,us-west-2,frontend,mobile-api,staging,res-356766
2026-01-18,SNS,4.017,96.31,Requests,eu-west-1,infra,ml-pipeline,production,res-316533
2026-01-18,SQS,7.2094,12.01,Requests,ap-southeast-1,backend,ml-pipeline,staging,res-220764
2026-01-18,SQS,7.1749,46.93,Requests,eu-west-1,ml,platform,production,res-805917
2026-01-18,SQS,2.5044,30.32,Requests,ap-southeast-1,infra,analytics,staging,res-659223
2026-01-18,API Gateway,8.7928,44.01,Requests,us-west-2,backend,platform,development,res-900690
2026-01-18,API Gateway,13.6436,82.96,Requests,ap-southeast-1,data,ml-pipeline,development,res-984349
2026-01-18,API Gateway,19.4634,69.41,Requests,ap-southeast-1,ml,mobile-api,production,res-224717
2026-01-18,Secrets Manager,3.0802,35.86,Secrets,ap-southeast-1,frontend,platform,development,res-992664
2026-01-18,Secrets Manager,3.3214,76.1,Secrets,us-east-1,backend,analytics,staging,res-434686
2026-01-18,Secrets Manager,6.8488,79.0,Secrets,us-east-1,frontend,analytics,development,res-515958
2026-01-18,Secrets Manager,4.6451,72.53,Secrets,us-west-2,ml,web-app,production,res-855540
2026-01-18,Secrets Manager,7.5536,31.11,Secrets,eu-west-1,backend,mobile-api,development,res-119515
2026-01-19,EC2,52.5015,67.08,Hours,ap-southeast-1,ml,ml-pipeline,development,i-893563
2026-01-19,EC2,101.1733,59.33,Hours,eu-west-1,frontend,ml-pipeline,development,i-918822
2026-01-19,EC2,46.5341,24.68,Hours,us-east-1,data,analytics,production,i-345184
2026-01-19,EC2,90.2831,81.62,Hours,eu-west-1,infra,analytics,staging,i-489484
2026-01-19,Lambda,14.8548,13.31,Requests,us-east-1,backend,analytics,development,func-853702
2026-01-19,Lambda,6.0032,96.07,Requests,ap-southeast-1,ml,platform,production,func-228869
2026-01-19,Lambda,6.301,31.58,Requests,eu-west-1,data,mobile-api,production,func-935088
2026-01-19,Lambda,10.7,72.97,Requests,ap-southeast-1,ml,ml-pipeline,development,func-602126
2026-01-19,Lambda,18.5122,30.57,Requests,eu-west-1,infra,web-app,production,func-771762
2026-01-19,S3,22.2903,42.41,GB-Month,us-east-1,data,mobile-api,staging,res-318025
2026-01-19,S3,10.9935,72.86,GB-Month,us-west-2,infra,ml-pipeline,development,res-161153
2026-01-19,S3,13.5227,87.4,GB-Month,us-west-2,data,web-app,production,res-456060
2026-01-19,S3,11.0612,47.05,GB-Month,eu-west-1,backend,web-app,production,res-792857
2026-01-19,RDS,111.6418,20.45,Hours,ap-southeast-1,ml,platform,production,db-299216
2026-01-19,RDS,151.6621,9.53,Hours,eu-west-1,backend,ml-pipeline,production,db-343671
2026-01-19,RDS,139.4582,28.41,Hours,us-east-1,ml,ml-pipeline,production,db-290283
2026-01-19,RDS,157.3452,7.58,Hours,us-east-1,frontend,ml-pipeline,production,db-535809
2026-01-19,RDS,116.1749,50.21,Hours,ap-southeast-1,infra,mobile-api,development,db-989570
2026-01-19,DynamoDB,13.2729,72.62,WCU-Hours,us-east-1,infra,web-app,development,res-950051
2026-01-19,DynamoDB,18.5432,75.38,WCU-Hours,eu-west-1,infra,mobile-api,development,res-730714
2026-01-19,DynamoDB,45.5796,85.73,WCU-Hours,eu-west-1,frontend,mobile-api,production,res-759449
2026-01-19,CloudWatch,9.0859,41.29,Metrics,us-east-1,backend,analytics,development,res-828557
2026-01-19,CloudWatch,11.461,11.01,Metrics,us-east-1,ml,mobile-api,production,res-330988
2026-01-19,CloudWatch,10.0147,64.28,Metrics,ap-southeast-1,frontend,analytics,development,res-176525
2026-01-19,CloudWatch,4.8512,31.24,Metrics,us-west-2,frontend,web-app,development,res-245723
