date,service,cost,usage,unit,region,team,project,environment,resource_id
2025-12-26,EC2,109.728,29.83,Hours,us-east-1,ml,ml-pipeline,development,i-657927
2025-12-26,EC2,47.9385,17.45,Hours,us-west-2,ml,analytics,production,i-469700
2025-12-26,EC2,42.9094,50.68,Hours,us-west-2,frontend,mobile-api,development,i-221059
2025-12-26,EC2,99.7181,69.2,Hours,us-east-1,frontend,mobile-api,production,i-970358
2025-12-26,Lambda,13.6608,70.59,Requests,us-east-1,frontend,platform,staging,func-107278
2025-12-26,Lambda,24.9926,81.75,Requests,ap-southeast-1,data,platform,development,func-816907
2025-12-26,Lambda,23.1955,7.53,Requests,eu-west-1,infra,ml-pipeline,development,func-672219
2025-12-26,Lambda,13.0939,36.68,Requests,us-west-2,infra,ml-pipeline,production,func-355929
2025-12-26,S3,19.4325,71.25,GB-Month,us-west-2,backend,analytics,development,res-993847
2025-12-26,S3,29.118,58.18,GB-Month,us-west-2,frontend,ml-pipeline,production,res-495724
2025-12-26,S3,17.3315,84.76,GB-Month,ap-southeast-1,data,analytics,production,res-392546
2025-12-26,S3,21.0742,20.9,GB-Month,ap-southeast-1,ml,ml-pipeline,production,res-827599
2025-12-26,RDS,68.5039,74.32,Hours,us-east-1,backend,mobile-api,production,db-735310
2025-12-26,RDS,120.981,8.74,Hours,ap-southeast-1,data,mobile-api,development,db-744181
2025-12-26,RDS,41.4496,30.88,Hours,us-east-1,frontend,ml-pipeline,staging,db-146298
2025-12-26,RDS,86.9329,2.1,Hours,ap-southeast-1,ml,platform,staging,db-466835
2025-12-26,RDS,103.0805,83.03,Hours,ap-southeast-1,frontend,mobile-api,staging,db-299119
2025-12-26,DynamoDB,21.3316,9.21,WCU-Hours,eu-west-1,frontend,mobile-api,development,res-125848
2025-12-26,DynamoDB,22.622,19.66,WCU-Hours,us-west-2,data,analytics,development,res-579279
2025-12-26,DynamoDB,18.7274,94.63,WCU-Hours,us-east-1,data,web-app,production,res-899998
2025-12-26,DynamoDB,46.9753,18.35,WCU-Hours,us-west-2,infra,analytics,development,res-324804
2025-12-26,DynamoDB,21.4958,8.47,WCU-Hours,ap-southeast-1,data,mobile-api,staging,res-678472
2025-12-26,CloudWatch,14.3113,29.55,Metrics,us-east-1,infra,platform,production,res-233534
2025-12-26,CloudWatch,15.0919,24.72,Metrics,us-east-1,data,web-app,development,res-538651
2025-12-26,CloudWatch,8.7649,1.29,Metrics,ap-southeast-1,data,analytics,staging,res-546531
2025-12-26,CloudFront,33.1187,17.63,GB,us-west-2,data,ml-pipeline,staging,res-604376
2025-12-26,CloudFront,12.0544,20.46,GB,us-west-2,data,mobile-api,development,res-855013
